,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,region
80565,2910.0,1500.0,3.0,2.0,1,1,0,0,0,0,w/d in unit,street parking,41.8962,-87.6685,9.0
80776,1200.0,800.0,2.0,1.0,1,0,1,0,0,0,unknown,unknown,41.9019,-87.6779,9.0
80885,2600.0,715.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9039,-87.6346,1.0
80893,2100.0,565.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9039,-87.6346,1.0
81255,1873.0,547.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8967,-87.62700000000002,1.0
81487,2610.0,837.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8793,-87.6471,4.0
81530,2298.0,682.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8793,-87.6471,4.0
81621,1819.0,565.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8793,-87.6471,4.0
82890,1100.0,950.0,2.0,1.0,0,1,1,0,0,0,laundry in bldg,street parking,41.9453,-87.7474,8.0
83017,1000.0,750.0,2.0,1.0,0,0,1,0,0,0,unknown,unknown,41.9017,-87.7249,3.0
83441,1950.0,750.0,1.0,1.0,0,1,0,1,0,0,laundry in bldg,valet parking,41.9303,-87.6396,5.0
83670,1800.0,775.0,2.0,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,41.8943,-87.6657,9.0
84248,2400.0,1700.0,2.0,1.0,1,1,1,0,0,0,laundry in bldg,detached garage,41.9257,-87.7121,3.0
86175,960.0,600.0,1.0,1.0,1,0,0,0,0,0,laundry in bldg,off-street parking,42.0107,-87.6629,6.0
87703,2034.0,523.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.89,-87.6218,1.0
89221,901.0,700.0,1.0,1.0,1,0,1,0,0,0,laundry in bldg,off-street parking,41.6592,-87.5384,11.0
89266,1950.0,1200.0,2.0,1.0,1,1,1,0,0,0,laundry in bldg,street parking,41.9354,-87.6548,5.0
89273,2600.0,1350.0,3.0,2.0,0,0,1,0,0,0,laundry in bldg,unknown,41.9548,-87.6455,5.0
89321,1150.0,850.0,1.0,1.0,1,0,1,0,0,0,unknown,unknown,41.9833,-87.6897,0.0
89397,2200.0,820.0,1.0,1.0,1,1,1,0,0,0,w/d in unit,unknown,41.8925,-87.6299,1.0
89407,1800.0,1050.0,2.0,1.0,1,0,1,0,0,0,laundry in bldg,street parking,41.911,-87.6413,1.0
89429,1195.0,600.0,0.0,1.0,0,0,1,0,0,0,laundry in bldg,unknown,41.9309,-87.7105,3.0
89436,1500.0,1100.0,2.0,1.0,1,1,1,0,0,0,w/d in unit,unknown,41.9191,-87.7154,3.0
89469,1900.0,1700.0,3.0,1.0,1,0,0,0,0,0,laundry on site,street parking,41.9506,-87.6522,5.0
89595,1800.0,1100.0,2.0,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,41.9008,-87.6528,1.0
89618,1936.0,700.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8912,-87.6223,1.0
89646,2600.0,1100.0,3.0,2.5,1,1,1,0,0,0,unknown,attached garage,41.9209,-87.7043,3.0
89666,1775.0,1400.0,2.0,1.0,1,1,0,0,0,0,laundry in bldg,detached garage,41.9762,-87.6635,0.0
89680,1495.0,800.0,1.0,1.0,0,0,0,0,0,0,laundry in bldg,valet parking,41.9454,-87.6713,5.0
89682,2350.0,865.0,1.0,1.0,0,0,1,0,0,0,w/d in unit,attached garage,41.8859,-87.6428,1.0
89683,1395.0,600.0,1.0,1.0,0,0,0,0,0,0,laundry in bldg,detached garage,41.9008,-87.6528,1.0
89687,2000.0,750.0,1.0,1.0,0,0,0,0,0,0,laundry in bldg,attached garage,41.9127,-87.6336,1.0
89690,2995.0,1121.0,2.0,2.0,1,1,1,0,0,0,w/d in unit,attached garage,41.8804,-87.6533,4.0
89691,1650.0,1200.0,2.0,1.0,1,1,1,0,0,0,laundry in bldg,street parking,41.9019,-87.6779,9.0
89693,960.0,625.0,1.0,1.0,0,0,1,0,0,0,laundry in bldg,detached garage,42.0127,-87.6642,6.0
89694,2600.0,1400.0,3.0,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,41.9105,-87.6727,9.0
89696,1350.0,1000.0,2.0,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,41.8308,-87.645,7.0
89697,1595.0,680.0,1.0,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,41.9616,-87.6726,0.0
89704,1550.0,590.0,1.0,1.0,1,0,1,0,0,0,w/d in unit,attached garage,41.9399,-87.6528,5.0
89705,2500.0,1400.0,3.0,1.5,1,1,0,0,0,0,w/d in unit,detached garage,41.8911,-87.6607,9.0
89708,900.0,1000.0,2.0,1.0,1,1,1,1,0,0,unknown,street parking,41.8844,-87.7493,3.0
89709,1575.0,623.0,1.0,1.0,1,1,1,0,0,0,w/d in unit,street parking,41.9537,-87.6548,5.0
89712,1648.0,589.0,0.0,1.0,1,1,1,0,0,0,unknown,valet parking,41.8882,-87.6224,1.0
89713,1595.0,1200.0,3.0,1.0,1,1,1,0,0,0,laundry in bldg,unknown,41.9966,-87.6633,6.0
