,0,1,2,3
0,41.8962,-87.6685,2910.0,9.0
1,41.9019,-87.6779,1200.0,9.0
2,41.9039,-87.6346,2600.0,1.0
3,41.9039,-87.6346,2100.0,1.0
4,41.8967,-87.62700000000002,1873.0,1.0
5,41.8793,-87.6471,2610.0,4.0
6,41.8793,-87.6471,2298.0,4.0
7,41.8793,-87.6471,1819.0,4.0
8,41.9453,-87.7474,1100.0,8.0
9,41.9017,-87.7249,1000.0,3.0
10,41.9303,-87.6396,1950.0,5.0
11,41.8943,-87.6657,1800.0,9.0
12,41.9257,-87.7121,2400.0,3.0
13,42.0107,-87.6629,960.0,6.0
14,41.89,-87.6218,2034.0,1.0
15,41.6592,-87.5384,901.0,11.0
16,41.9354,-87.6548,1950.0,5.0
17,41.9548,-87.6455,2600.0,5.0
18,41.9833,-87.6897,1150.0,0.0
19,41.8925,-87.6299,2200.0,1.0
20,41.911,-87.6413,1800.0,1.0
21,41.9309,-87.7105,1195.0,3.0
22,41.9191,-87.7154,1500.0,3.0
23,41.9506,-87.6522,1900.0,5.0
24,41.9008,-87.6528,1800.0,1.0
25,41.8912,-87.6223,1936.0,1.0
26,41.9209,-87.7043,2600.0,3.0
27,41.9762,-87.6635,1775.0,0.0
28,41.9454,-87.6713,1495.0,5.0
29,41.8859,-87.6428,2350.0,1.0
30,41.9008,-87.6528,1395.0,1.0
31,41.9127,-87.6336,2000.0,1.0
32,41.8804,-87.6533,2995.0,4.0
33,41.9019,-87.6779,1650.0,9.0
34,42.0127,-87.6642,960.0,6.0
35,41.9105,-87.6727,2600.0,9.0
36,41.8308,-87.645,1350.0,7.0
37,41.9616,-87.6726,1595.0,0.0
38,41.9399,-87.6528,1550.0,5.0
39,41.8911,-87.6607,2500.0,9.0
40,41.8844,-87.7493,900.0,3.0
41,41.9537,-87.6548,1575.0,5.0
42,41.8882,-87.6224,1648.0,1.0
43,41.9966,-87.6633,1595.0,6.0
44,41.8859,-87.6544,2595.0,4.0
45,41.9033,-87.6336,1490.0,1.0
46,41.9569,-87.6649,1700.0,0.0
47,41.9625,-87.6634,1600.0,0.0
48,41.9058,-87.6836,2550.0,9.0
49,41.9756,-87.6553,1225.0,0.0
50,41.9982,-87.6682,850.0,6.0
51,41.9391,-87.6566,2195.0,5.0
52,41.89,-87.7064,950.0,3.0
53,41.9253,-87.7243,1500.0,3.0
54,41.9248,-87.6914,2675.0,3.0
55,41.927,-87.6682,1650.0,5.0
56,41.9389,-87.6614,1550.0,5.0
57,41.9468,-87.6552,2750.0,5.0
58,41.9506,-87.6522,2200.0,5.0
59,41.9513,-87.6562,1850.0,5.0
60,41.9209,-87.7043,2500.0,3.0
61,41.9399,-87.6528,1545.0,5.0
62,41.8966,-87.68700000000003,1297.0,9.0
63,41.9183,-87.6402,1597.0,1.0
64,41.8536,-87.6221,2485.0,4.0
65,41.8536,-87.6221,2550.0,4.0
66,41.8536,-87.6221,1820.0,4.0
67,41.8909,-87.6347,2827.0,1.0
68,41.9217,-87.7106,1550.0,3.0
69,41.9019,-87.6779,1550.0,9.0
70,41.8923,-87.6373,2095.0,1.0
71,41.8878,-87.6215,1400.0,1.0
72,41.8984,-87.6895,1800.0,9.0
73,41.8943,-87.6657,3000.0,9.0
74,41.9102,-87.697,1800.0,3.0
75,41.9058,-87.6971,1600.0,3.0
